#1
# Data Source: Simbench Dataset
# type: measured profile
# load profile: L2-M
# source: Simbench
# scaling: P = 343.4 kW Q = 135.6 kVAr
# timezone: UTC
float p_q(35136,3)
538200 0.177182 0.191351
539100 0.196629 0.266797
540000 0.217373 0.308348
540900 0.216076 0.281012
541800 0.255402 0.324749
542700 0.266206 0.332403
543600 0.312014 0.323656
544500 0.187122 0.311628
545400 0.052723 0.2996
546300 0.046672 0.322563
547200 0.04408 0.314909
548100 0.354797 0.302881
549000 0.444252 0.298507
549900 0.458513 0.287573
550800 0.498271 0.246022
551700 0.44987 0.264611
552600 0.427831 0.29304
553500 0.411409 0.278825
554400 0.414434 0.284292
555300 0.435177 0.298507
556200 0.430856 0.285386
557100 0.427831 0.287573
558000 0.445981 0.294133
558900 0.405791 0.288666
559800 0.419188 0.306161
560700 0.399741 0.271171
561600 0.414866 0.323656
562500 0.411841 0.300694
563400 0.427398 0.288666
564300 0.419188 0.281012
565200 0.411841 0.251489
566100 0.439067 0.272265
567000 0.410977 0.26133
567900 0.430856 0.286479
568800 0.400605 0.272265
569700 0.409248 0.255863
570600 0.407519 0.29304
571500 0.398444 0.276638
572400 0.402334 0.291946
573300 0.392826 0.266797
574200 0.405791 0.29632
575100 0.395419 0.284292
576000 0.394987 0.295227
576900 0.381158 0.290853
577800 0.378565 0.270078
578700 0.346586 0.278825
579600 0.343129 0.282106
580500 0.362143 0.325843
581400 0.340536 0.307254
582300 0.344425 0.312722
583200 0.352204 0.316002
584100 0.3414 0.333497
585000 0.348315 0.343338
585900 0.351772 0.320376
586800 0.380726 0.406757
587700 0.331029 0.378328
588600 0.333189 0.346618
589500 0.333189 0.337871
590400 0.361279 0.347711
591300 0.365169 0.361926
592200 0.305532 0.308348
593100 0.281763 0.291946
594000 0.272688 0.307254
594900 0.254538 0.288666
595800 0.247623 0.295227
596700 0.220398 0.301787
597600 0.249352 0.313815
598500 0.242869 0.29632
599400 0.224287 0.302881
600300 0.223855 0.288666
601200 0.22688 0.283199
602100 0.223423 0.277732
603000 0.210458 0.249303
603900 0.206137 0.262424
604800 0.187986 0.243835
605700 0.194901 0.247116
606600 0.197494 0.25477
607500 0.191876 0.251489
608400 0.184961 0.240555
609300 0.185825 0.246022
610200 0.160328 0.14652
611100 0.134831 0.056858
612000 0.128349 0.039364
612900 0.135696 0.051391
613800 0.143475 0.071073
614700 0.139153 0.055765
615600 0.129646 0.033896
616500 0.140017 0.063419
617400 0.140882 0.071073
618300 0.133535 0.045924
619200 0.137424 0.056858
620100 0.128781 0.037177
621000 0.140017 0.061232
621900 0.140449 0.055765
622800 0.131374 0.040457
623700 0.132239 0.045924
624600 0.159896 0.155267
625500 0.178911 0.218686
626400 0.187986 0.242742
627300 0.197061 0.22306
628200 0.232498 0.287573
629100 0.246327 0.282106
630000 0.296889 0.279919
630900 0.334486 0.274452
631800 0.37943 0.264611
632700 0.407087 0.243835
633600 0.393691 0.256957
634500 0.406223 0.237275
635400 0.395851 0.268984
636300 0.399309 0.240555
637200 0.399741 0.215406
638100 0.404927 0.243835
639000 0.406223 0.260237
639900 0.388937 0.233995
640800 0.369058 0.241649
641700 0.37943 0.240555
642600 0.423509 0.259143
643500 0.473639 0.240555
644400 0.412705 0.215406
645300 0.442524 0.25805
646200 0.445117 0.268984
647100 0.39153 0.256957
648000 0.455488 0.262424
648900 0.412705 0.267891
649800 0.460674 0.308348
650700 0.372083 0.236181
651600 0.375108 0.256957
652500 0.349179 0.25805
653400 0.328003 0.249303
654300 0.324546 0.241649
655200 0.307692 0.236181
656100 0.30121 0.25477
657000 0.281763 0.233995
657900 0.272688 0.249303
658800 0.312878 0.252583
659700 0.302506 0.26133
660600 0.287813 0.266797
661500 0.283492 0.273358
662400 0.280467 0.215406
663300 0.286517 0.221967
664200 0.331029 0.215406
665100 0.342697 0.294133
666000 0.342264 0.36302
666900 0.315903 0.319282
667800 0.321089 0.314909
668700 0.3172 0.319282
669600 0.293431 0.311628
670500 0.299914 0.326936
671400 0.282627 0.332403
672300 0.291271 0.322563
673200 0.348747 0.346618
674100 0.315903 0.323656
675000 0.265341 0.322563
675900 0.307692 0.37286
676800 0.310717 0.337871
677700 0.287381 0.345525
678600 0.287813 0.317095
679500 0.258859 0.286479
680400 0.277442 0.29304
681300 0.278306 0.281012
682200 0.24503 0.275545
683100 0.253673 0.320376
684000 0.248487 0.29304
684900 0.227744 0.303974
685800 0.205272 0.259143
686700 0.194901 0.248209
687600 0.197494 0.265704
688500 0.194901 0.246022
689400 0.193172 0.237275
690300 0.201815 0.272265
691200 0.183232 0.21978
692100 0.189715 0.246022
693000 0.198358 0.252583
693900 0.194901 0.247116
694800 0.19879 0.262424
695700 0.185825 0.246022
696600 0.154278 0.132305
697500 0.146932 0.091848
698400 0.135264 0.03499
699300 0.144339 0.078727
700200 0.134831 0.062326
701100 0.137857 0.056858
702000 0.141746 0.064513
702900 0.141746 0.056858
703800 0.131806 0.048111
704700 0.141314 0.078727
705600 0.13656 0.051391
706500 0.139153 0.059045
707400 0.133103 0.051391
708300 0.131374 0.049204
709200 0.132239 0.051391
710100 0.132671 0.044831
711000 0.1586 0.14324
711900 0.194901 0.253676
712800 0.194468 0.266797
713700 0.197494 0.25805
714600 0.199222 0.253676
715500 0.19879 0.237275
716400 0.206137 0.268984
717300 0.196197 0.248209
718200 0.19879 0.255863
719100 0.200519 0.244929
720000 0.209162 0.242742
720900 0.211755 0.266797
721800 0.216076 0.252583
722700 0.22299 0.238368
723600 0.21089 0.249303
724500 0.203111 0.221967
725400 0.208297 0.240555
726300 0.216076 0.25477
727200 0.21478 0.264611
728100 0.219101 0.249303
729000 0.242005 0.221967
729900 0.239844 0.224154
730800 0.249784 0.251489
731700 0.238116 0.248209
732600 0.225583 0.233995
733500 0.257563 0.246022
734400 0.232498 0.238368
735300 0.228608 0.244929
736200 0.258859 0.241649
737100 0.222126 0.241649
738000 0.227744 0.241649
738900 0.226016 0.239462
739800 0.224719 0.255863
740700 0.233362 0.266797
741600 0.235955 0.232901
742500 0.227744 0.255863
743400 0.219533 0.249303
744300 0.218669 0.25477
745200 0.216508 0.250396
746100 0.218669 0.231808
747000 0.212619 0.267891
747900 0.226448 0.256957
748800 0.242437 0.242742
749700 0.233362 0.255863
750600 0.229041 0.252583
751500 0.219965 0.246022
752400 0.235523 0.256957
753300 0.223423 0.26133
754200 0.23898 0.295227
755100 0.224287 0.263517
756000 0.229041 0.268984
756900 0.240277 0.277732
757800 0.260156 0.270078
758700 0.261884 0.276638
759600 0.296889 0.346618
760500 0.302939 0.36302
761400 0.330164 0.364113
762300 0.302939 0.338964
763200 0.338807 0.343338
764100 0.325411 0.322563
765000 0.305099 0.294133
765900 0.333621 0.303974
766800 0.31115 0.286479
767700 0.301642 0.341151
768600 0.265774 0.313815
769500 0.267934 0.306161
770400 0.263181 0.323656
771300 0.243302 0.312722
772200 0.245895 0.310535
773100 0.232498 0.313815
774000 0.214347 0.312722
774900 0.21478 0.309441
775800 0.211322 0.301787
776700 0.194468 0.25805
777600 0.195765 0.268984
778500 0.194036 0.266797
779400 0.18885 0.252583
780300 0.197926 0.271171
781200 0.203976 0.285386
782100 0.194036 0.272265
783000 0.178479 0.200098
783900 0.150821 0.099502
784800 0.145635 0.07654
785700 0.140882 0.075447
786600 0.139153 0.063419
787500 0.145203 0.082007
788400 0.142178 0.077634
789300 0.135696 0.064513
790200 0.140882 0.072167
791100 0.147796 0.089661
792000 0.133967 0.056858
792900 0.141314 0.072167
793800 0.133967 0.067793
794700 0.133535 0.065606
795600 0.140449 0.07654
796500 0.140882 0.067793
797400 0.177182 0.195724
798300 0.200086 0.277732
799200 0.194036 0.272265
800100 0.205272 0.281012
801000 0.207433 0.287573
801900 0.195333 0.259143
802800 0.203544 0.281012
803700 0.20484 0.267891
804600 0.201815 0.272265
805500 0.203544 0.265704
806400 0.190147 0.247116
807300 0.196197 0.259143
808200 0.200519 0.275545
809100 0.192308 0.255863
810000 0.209162 0.268984
810900 0.213915 0.287573
811800 0.197061 0.255863
812700 0.206569 0.262424
813600 0.205272 0.260237
814500 0.219533 0.255863
815400 0.251513 0.247116
816300 0.226016 0.243835
817200 0.253673 0.274452
818100 0.258427 0.29632
819000 0.275281 0.305068
819900 0.323682 0.312722
820800 0.353068 0.323656
821700 0.343561 0.330217
822600 0.354365 0.341151
823500 0.362576 0.347711
824400 0.390666 0.356459
825300 0.377701 0.343338
826200 0.357822 0.324749
827100 0.360847 0.350992
828000 0.360847 0.352085
828900 0.351772 0.347711
829800 0.407519 0.356459
830700 0.475367 0.396916
831600 0.434313 0.399103
832500 0.439067 0.415504
833400 0.446413 0.414411
834300 0.496975 0.385982
835200 0.523768 0.391449
836100 0.44771 0.440653
837000 0.432584 0.413317
837900 0.437338 0.431906
838800 0.498271 0.419878
839700 0.526793 0.424252
840600 0.460242 0.432999
841500 0.444252 0.420971
842400 0.455056 0.429719
843300 0.438202 0.416598
844200 0.45981 0.346618
845100 0.41962 0.310535
846000 0.318064 0.295227
846900 0.303371 0.284292
847800 0.264477 0.271171
848700 0.251945 0.295227
849600 0.239844 0.278825
850500 0.237252 0.270078
851400 0.215212 0.276638
852300 0.207865 0.232901
853200 0.208297 0.239462
854100 0.207001 0.256957
855000 0.19879 0.249303
855900 0.193172 0.249303
856800 0.189283 0.265704
857700 0.181936 0.241649
858600 0.195333 0.263517
859500 0.198358 0.270078
860400 0.189283 0.256957
861300 0.196629 0.282106
862200 0.189283 0.256957
863100 0.18669 0.248209
864000 0.18885 0.252583
864900 0.189715 0.266797
865800 0.188418 0.260237
866700 0.18885 0.265704
867600 0.187122 0.244929
868500 0.19274 0.271171
869400 0.154278 0.150894
870300 0.127917 0.064513
871200 0.129213 0.059045
872100 0.132671 0.057952
873000 0.122299 0.036083
873900 0.137857 0.074353
874800 0.137857 0.066699
875700 0.135264 0.065606
876600 0.141314 0.074353
877500 0.133535 0.063419
878400 0.139153 0.084194
879300 0.137857 0.066699
880200 0.129213 0.048111
881100 0.135696 0.067793
882000 0.138721 0.077634
882900 0.138721 0.064513
883800 0.165514 0.167295
884700 0.184529 0.237275
885600 0.193172 0.246022
886500 0.193172 0.268984
887400 0.236819 0.287573
888300 0.252377 0.300694
889200 0.291271 0.282106
890100 0.346154 0.251489
891000 0.362143 0.268984
891900 0.398444 0.266797
892800 0.396716 0.250396
893700 0.428263 0.248209
894600 0.435177 0.250396
895500 0.430424 0.237275
896400 0.442956 0.256957
897300 0.452463 0.265704
898200 0.440363 0.255863
899100 0.423509 0.237275
900000 0.41573 0.232901
900900 0.436041 0.244929
901800 0.478392 0.26133
902700 0.493086 0.253676
903600 0.477528 0.246022
904500 0.476664 0.248209
905400 0.437338 0.237275
906300 0.440363 0.246022
907200 0.432152 0.244929
908100 0.433449 0.248209
909000 0.435177 0.248209
909900 0.441659 0.221967
910800 0.411409 0.225247
911700 0.41357 0.237275
912600 0.400173 0.225247
913500 0.403198 0.228527
914400 0.422213 0.244929
915300 0.429559 0.235088
916200 0.422645 0.246022
917100 0.423509 0.229621
918000 0.408384 0.249303
918900 0.425238 0.256957
919800 0.407519 0.232901
920700 0.391962 0.235088
921600 0.444685 0.314909
922500 0.430424 0.319282
923400 0.420916 0.345525
924300 0.407087 0.359739
925200 0.385048 0.3663
926100 0.389369 0.384888
927000 0.388073 0.385982
927900 0.368194 0.346618
928800 0.349179 0.336777
929700 0.356958 0.335684
930600 0.345722 0.343338
931500 0.332757 0.357552
932400 0.328003 0.318189
933300 0.305532 0.342244
934200 0.290838 0.321469
935100 0.286085 0.318189
936000 0.306828 0.33131
936900 0.298617 0.312722
937800 0.281763 0.300694
938700 0.333189 0.316002
939600 0.264477 0.307254
940500 0.256266 0.29632
941400 0.235523 0.306161
942300 0.21478 0.28976
943200 0.237684 0.311628
