#1
# Data Source: Simbench Dataset
# type: measured profile
# load profile: G3-A
# source: Simbench
# scaling: P = 225.7 kW Q = 89.1 kVAr
# timezone: UTC
float p_q(35136,3)
468000 0.518395 0.473884 
468900 0.429833 0.317502 
469800 0.459933 0.351351 
470700 0.41806 0.220018 
471600 0.48495 0.346951 
472500 0.48 0.3852 
473400 0.67398 0.782924 
474300 0.434783 0.325965 
475200 0.464883 0.389262 
476100 0.590368 0.634666 
477000 0.414716 0.241342 
477900 0.483344 0.325965 
478800 0.597057 0.647529 
479700 0.38301 0.275191 
480600 0.396388 0.266729 
481500 0.433177 0.317502 
482400 0.438127 0.279253 
483300 0.476656 0.406186 
484200 0.663946 0.634666 
485100 0.403077 0.262329 
486000 0.416455 0.330026 
486900 0.533512 0.363875 
487800 0.511706 0.287715 
488700 0.384615 0.253866 
489600 0.481605 0.359813 
490500 0.637191 0.655991 
491400 0.508361 0.3808 
492300 0.419799 0.334427 
493200 0.441472 0.346951 
494100 0.399732 0.215956 
495000 0.434783 0.330026 
495900 0.401338 0.241342 
496800 0.627157 0.744675 
497700 0.48 0.3808 
498600 0.386355 0.203093 
499500 0.444816 0.279253 
500400 0.384615 0.236942 
501300 0.376321 0.249805 
502200 0.397993 0.279253 
503100 0.381271 0.215956 
504000 0.41806 0.270791 
504900 0.545151 0.249805 
505800 0.454849 0.270791 
506700 0.324415 0.173645 
507600 0.341137 0.203093 
508500 0.341137 0.182107 
509400 0.317726 0.15672 
510300 0.349565 0.190569 
511200 0.307692 0.139796 
512100 0.35291 0.203093 
513000 0.304348 0.177707 
513900 0.292709 0.15232 
514800 0.302742 0.224418 
515700 0.265953 0.160782 
516600 0.334448 0.211555 
517500 0.299398 0.131334 
518400 0.317726 0.190569 
519300 0.265953 0.135395 
520200 0.275987 0.135395 
521100 0.337793 0.160782 
522000 0.332843 0.220018 
522900 0.296054 0.190569 
523800 0.249231 0.131334 
524700 0.269298 0.173645 
525600 0.369632 0.245404 
526500 0.416455 0.148258 
527400 0.356254 0.182107 
528300 0.322809 0.160782 
529200 0.331104 0.139796 
530100 0.336187 0.165182 
531000 0.319465 0.194631 
531900 0.386355 0.283653 
532800 0.384615 0.220018 
533700 0.377926 0.275191 
534600 0.334448 0.262329 
535500 0.301003 0.177707 
536400 0.362943 0.30464 
537300 0.299398 0.165182 
538200 0.349565 0.279253 
539100 0.302742 0.165182 
540000 0.354515 0.262329 
540900 0.341137 0.241342 
541800 0.384615 0.148258 
542700 0.429833 0.22848 
543600 0.379666 0.203093 
544500 0.446555 0.296178 
545400 0.35786 0.182107 
546300 0.379666 0.215956 
547200 0.386355 0.207494 
548100 0.381271 0.22848 
549000 0.647224 0.664453 
549900 0.436522 0.262329 
550800 0.446555 0.334427 
551700 0.500067 0.359813 
552600 0.429833 0.321564 
553500 0.451505 0.287715 
554400 0.396388 0.397724 
555300 0.459933 0.351351 
556200 0.396388 0.419049 
557100 0.38796 0.435973 
558000 0.528428 0.68984 
558900 0.322809 0.317502 
559800 0.341137 0.351351 
560700 0.376321 0.325965 
561600 0.280936 0.22848 
562500 0.409766 0.363875 
563400 0.322809 0.220018 
564300 0.401338 0.376738 
565200 0.342876 0.363875 
566100 0.332843 0.338489 
567000 0.411371 0.499271 
567900 0.403077 0.452898 
568800 0.374582 0.368276 
569700 0.35786 0.321564 
570600 0.367893 0.355413 
571500 0.371237 0.296178 
572400 0.408027 0.279253 
573300 0.399732 0.249805 
574200 0.401338 0.245404 
575100 0.481605 0.393662 
576000 0.459933 0.330026 
576900 0.434783 0.317502 
577800 0.494983 0.465422 
578700 0.456589 0.330026 
579600 0.443211 0.334427 
580500 0.578595 0.626204 
581400 0.597057 0.554444 
582300 0.473311 0.287715 
583200 0.41311 0.249805 
584100 0.453244 0.368276 
585000 0.523478 0.203093 
585900 0.57699 0.30904 
586800 0.490033 0.389262 
587700 0.436522 0.334427 
588600 0.453244 0.359813 
589500 0.491639 0.325965 
590400 0.376321 0.241342 
591300 0.41311 0.245404 
592200 0.339532 0.182107 
593100 0.336187 0.169244 
594000 0.322809 0.160782 
594900 0.294314 0.101547 
595800 0.359599 0.186169 
596700 0.301003 0.105947 
597600 0.307692 0.114409 
598500 0.41311 0.22848 
599400 0.35291 0.101547 
600300 0.366288 0.220018 
601200 0.269298 0.135395 
602100 0.304348 0.177707 
603000 0.339532 0.186169 
603900 0.342876 0.173645 
604800 0.314381 0.224418 
